id,created_time,creator_id,modified_time,modifier_id,is_deleted,job_id,job_name,job_group,func_name,func_args,func_kwargs,run_info,run_except_info,run_status,run_time
781,2024-06-15 08:00:05.749448,0,2024-06-15 08:00:05.749448,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:324本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-15 08:00:00.000000
782,2024-06-15 12:00:03.209309,0,2024-06-15 12:00:03.209309,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:324本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-15 12:00:00.000000
783,2024-06-15 13:15:52.883476,0,2024-06-15 13:15:52.883476,0,0,,active_sniffer_after_run,,,,,"----------------task_id:active_sniffer_after_run,args:(),kwargs:{}----------------""嗅探器激活成功,当前使用的嗅探器为:http://172.23.0.6:5708""",,1,2024-06-15 13:15:52.785437
784,2024-06-15 13:16:01.331391,0,2024-06-15 13:16:01.331391,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:324本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-15 13:15:57.000000
785,2024-06-15 16:00:03.948849,0,2024-06-15 16:00:03.948849,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:324本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-15 16:00:00.000000
786,2024-06-15 20:00:01.572188,0,2024-06-15 20:00:01.572188,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:324本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-15 20:00:00.000000
787,2024-06-16 00:00:01.639735,0,2024-06-16 00:00:01.639735,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:317本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-16 00:00:00.000000
788,2024-06-16 04:00:02.555086,0,2024-06-16 04:00:02.555086,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:317本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-16 04:00:00.000000
789,2024-06-16 08:00:01.817355,0,2024-06-16 08:00:01.817355,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:317本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-16 08:00:00.000000
790,2024-06-16 09:49:26.989023,0,2024-06-16 09:49:26.989023,0,0,,active_sniffer_after_run,,,,,"----------------task_id:active_sniffer_after_run,args:(),kwargs:{}----------------""嗅探器激活成功,当前使用的嗅探器为:http://172.23.0.6:5708""",,1,2024-06-16 09:49:26.910248
791,2024-06-16 09:49:32.674130,0,2024-06-16 09:49:32.674130,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:317本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-16 09:49:31.000000
792,2024-06-16 12:00:02.948613,0,2024-06-16 12:00:02.948613,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:317本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-16 12:00:00.000000
793,2024-06-16 16:00:01.629103,0,2024-06-16 16:00:01.629103,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:317本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-16 16:00:00.000000
794,2024-06-16 17:10:28.222646,0,2024-06-16 17:10:28.222646,0,0,,active_sniffer_after_run,,,,,"----------------task_id:active_sniffer_after_run,args:(),kwargs:{}----------------""嗅探器激活成功,当前使用的嗅探器为:http://172.23.0.6:5708""",,1,2024-06-16 17:10:28.158520
795,2024-06-16 20:00:01.547857,0,2024-06-16 20:00:01.547857,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:317本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-16 20:00:00.000000
796,2024-06-17 00:00:01.645906,0,2024-06-17 00:00:01.645906,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:432本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-17 00:00:00.000000
797,2024-06-17 04:00:02.961576,0,2024-06-17 04:00:02.961576,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:432本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-17 04:00:00.000000
798,2024-06-17 07:27:13.263114,0,2024-06-17 07:27:13.263114,0,0,,active_sniffer_after_run,,,,,"----------------task_id:active_sniffer_after_run,args:(),kwargs:{}----------------""嗅探器激活成功,当前使用的嗅探器为:http://172.23.0.6:5708""",,1,2024-06-17 07:27:13.191661
799,2024-06-17 07:27:19.767796,0,2024-06-17 07:27:19.767796,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:432本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-17 07:27:18.000000
800,2024-06-17 08:00:02.507542,0,2024-06-17 08:00:02.507542,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:432本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-17 08:00:00.000000
801,2024-06-17 10:13:16.210012,0,2024-06-17 10:13:16.210012,0,0,,active_sniffer_after_run,,,,,"----------------task_id:active_sniffer_after_run,args:(),kwargs:{}----------------""嗅探器激活成功,当前使用的嗅探器为:http://172.23.0.6:5708""",,1,2024-06-17 10:13:16.137355
802,2024-06-17 10:13:22.942823,0,2024-06-17 10:13:22.942823,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:432本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-17 10:13:21.000000
803,2024-06-17 12:00:04.349801,0,2024-06-17 12:00:04.349801,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:432本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-17 12:00:00.000000
804,2024-06-17 15:01:50.536057,0,2024-06-17 15:01:50.536057,0,0,,active_sniffer_after_run,,,,,"----------------task_id:active_sniffer_after_run,args:(),kwargs:{}----------------""嗅探器激活成功,当前使用的嗅探器为:http://172.23.0.6:5708""",,1,2024-06-17 15:01:50.468977
805,2024-06-17 16:00:02.932887,0,2024-06-17 16:00:02.932887,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:432本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-17 16:00:00.000000
806,2024-06-17 16:02:16.037076,0,2024-06-17 16:02:16.037076,0,0,,active_sniffer_after_run,,,,,"----------------task_id:active_sniffer_after_run,args:(),kwargs:{}----------------""嗅探器激活成功,当前使用的嗅探器为:http://172.23.0.6:5708""",,1,2024-06-17 16:02:15.958253
